76.555680	108.547690	82.883770	118.391386	94.836829	114.875780	89.211860	105.032085	
129.992884	100.813358	124.367915	112.063296	137.727216	114.875780	142.649064	105.032085	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
143.352185	119.094507	151.789638	121.906991	156.008365	108.547690	147.570911	106.438327	
231.945443	115.578901	239.679775	117.688265	242.492260	105.735206	233.351685	101.516479	
344.444819	192.219101	332.491760	192.922222	334.601124	201.359675	347.257303	199.953433	
366.944694	245.656305	357.804120	249.171910	360.616604	254.093758	369.054057	249.875031	
274.132709	129.641323	282.570162	133.156929	286.788889	124.016355	276.242072	116.985144	
339.522971	216.125218	341.632335	223.156429	354.991635	218.234582	352.882272	210.500250	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
