137.024095	100.813358	153.899001	100.813358	141.242821	112.063296	153.195880	111.360175	
219.289263	131.750687	205.226841	139.485019	218.586142	145.813109	228.429838	140.188140	
245.304744	157.766167	235.461049	162.688015	240.382896	168.312984	252.335955	164.797378	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
271.320225	267.453059	274.132709	274.484270	281.867041	270.968664	280.460799	263.937453	
286.085768	284.327965	278.351436	286.437328	280.460799	294.171660	288.195131	290.656055	
307.179401	344.796380	298.741948	347.608864	300.851311	354.640075	308.585643	351.827591	
292.413858	328.624594	295.929463	335.655805	301.554432	332.843321	298.038826	326.515231	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
428.819351	261.828090	420.381898	259.718727	419.678777	265.343695	428.116230	268.859301	
